,site_id,load_curve
0,00374f87-909c-6ef8-847f-a7b4694ad804,"[4611.62524532 4005.64027338 3536.84571708 3266.01871948 2975.32768141
 2781.49384751 2734.78737426 2904.61667133 3266.0014828  4010.19137202
 4906.09788748 5369.53676161 5620.39937664 5785.22757465 5885.76050045
 5956.10215314 5972.63582114 5989.26367527 5943.8197887  5868.93873369
 5769.37660222 5608.99300482 5432.00063674 5241.81420708]"
0,0101ee7c-a0ef-7b94-f62b-594142c8b0e6,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0,012091d7-8dfd-1322-28e4-4a3c57b067c7,"[3354.76606654 3094.89482475 3023.03880676 3036.72596047 3040.22254377
 3186.81864537 3528.30001825 4138.01919341 5040.69048948 6092.01828579
 6741.27716963 7091.5350897  7425.49326812 7559.01965845 7608.08016948
 7648.94587119 7659.92686642 7634.34394234 7555.86042157 7474.75446333
 7320.89248626 7027.02189664 5100.79478648 3984.24093735]"
0,02f4e241-53ef-7fb8-ff1d-ba17643d7645,"[1768.76198334 1493.09715632 1181.10233634  972.07861135  900.52564597
  885.34794709  923.15243698 1030.22722937 1311.48843646 1601.67304451
 1741.7302207  1861.19832155 1958.55532099 2008.28888325 2055.93598666
 2101.42043415 2121.76121925 2123.66149463 2094.15845745 2007.51897829
 1919.09536614 1888.88234198 1858.12102728 1824.63905341]"
0,02fb6917-572b-6e82-8f53-2dd1fb188a3c,"[154.25901347 147.48946769 121.30264428  76.30837054  65.75952346
  61.62192268  62.00480038  60.53856554  60.40067211  60.90340856
  73.62647108 134.20605353 135.96132193 135.72719038 138.50867953
 142.43975936 146.20533516 149.22223265 151.22695409 152.37431038
 152.63158377 154.95646054 156.07253546 155.8123893 ]"
0,0359f57d-5a06-40c6-3d83-4a0a7720eba1,"[1.63206719 1.62550084 1.53685506 1.49745694 1.45346237 1.40815453
 1.33231315 0.8299871  0.81619775 0.74429618 0.72623871 0.72328385
 0.72492544 0.85526756 1.27715578 1.36711482 1.39239528 1.43212172
 1.47414639 1.53291525 1.59956374 1.54998777 1.56738861 1.60481682]"
0,03dde450-8366-1cb8-1632-f6c8135b8077,"[196.00066219 192.98798838 192.38599397 128.45583839 101.01254322
  89.54627736  88.38869556  87.91285723  87.85731887 104.82100095
 120.83209665 161.66500763 175.22065643 175.24427478 170.84064549
 170.96826531 173.20205673 175.04806393 175.83177533 176.1340499
 175.60677512 176.00623172 181.4588873  189.67625135]"
0,0414cdc3-fc98-163e-3e99-6c42cb74181f,"[233.35373317 236.32670175 238.36879121 237.9798597  222.51208417
 160.38228231 104.3492504   85.77980575  86.99696056  85.26433332
  83.5794088   84.09801941  91.3822068  162.77386503 209.0293903
 213.67692406 218.48758064 222.41017436 225.91636004 229.45852934
 232.0117009  233.89637663 234.03375843 232.41995208]"
0,0644edc0-0417-d12c-b3cb-505bc2e3e258,"[ 912.0931927   874.24637207  827.23483697  780.5020983   729.0751863
  691.82525404  671.64748208  664.17921244  663.86286468  693.28149685
  781.93315299  902.71985972 1000.72350819 1060.30071852 1099.07845659
 1130.24510682 1139.05729016 1135.4136479  1114.89926482 1060.3892275
 1007.12228299  972.01787258  947.1002022   937.52043948]"
0,07ae0994-02e6-2b53-051f-609e8d9efa1e,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0,08737ad9-2384-03d2-6557-83958fc5d881,"[469.40185645 443.72386435 385.56855229 330.45034477 305.90183206
 296.65081109 293.92489427 291.31569803 290.99506936 291.91360556
 362.21998143 473.31000329 570.95096379 623.24556903 646.38033669
 668.52303776 685.5018644  673.50516554 648.83728837 610.98768342
 568.17272133 533.12100135 509.58604362 490.74666804]"
