,site_id,seasonality
0,67558069-06d2-2b8a-e0a8-18cc5444c287,2
0,de387a8e-521d-bb89-84a1-650ed26e5437,1
0,25b9093b-4a6a-8c35-1545-e25cee8b7f3a,1
0,d1668f39-1f93-e186-9d6c-acb8ba6567e4,1
0,d243bd72-6f64-b597-3db6-72159081dcf4,1
0,4721a1d8-197d-36f8-0a79-a2f3819ead5d,2
0,46ad5df5-ae69-be7e-cc46-9c02132e204a,2
0,50877f54-bd2c-9048-b1bc-8fdc3a00d21e,2
0,f1fc624e-00ad-2e4a-4e6b-0a3391a90fdf,2
0,989da191-fdc5-2eee-2cc9-ad35a0bbb863,2
0,7dbed726-1d39-44ff-ac26-02374efd3b99,2
0,f7cb6999-e8e4-8dc2-a609-4b1b5c0ca9c9,2
0,291a7e63-beb1-09b7-601c-93c326be0607,2
0,168c044a-2cc8-92b6-fe42-806449544be4,2
0,ee9e572d-9840-3093-811f-941b7f48e73f,1
0,e3837638-f454-5de6-0a0f-51d5ccc43f65,0
0,adeeddca-5043-9a55-278a-db8b50518baa,1
0,3f461171-89c5-fd7f-8e4a-1483094e74c2,0
0,1374c5d3-9816-3f20-2d93-73e81fe6892f,0
0,3feaeec7-c201-c614-d067-1c6db38f2255,0
0,49d4b6e2-1c91-8aea-8f1d-49367fb47ada,1
0,cb846659-8aa0-3233-6b11-6745474c94c3,0
0,e7d819a2-4382-e7d1-a267-069c96a54333,0
0,66e9c85d-6b5f-d012-4b56-f69218073f86,0
0,871f9fba-e8c7-cdcd-1ac4-863509f1be51,0
0,1692d346-175f-4b14-bcd4-1c3489a07e7b,1
0,e386ac24-700c-eff1-1e89-2fa4a3757fa4,1
0,62194036-a4ec-91df-6a8f-9584b72c4b28,1
0,e3b32a97-7ca4-1af7-a7be-f80859145b2c,1
0,77263deb-497e-eb40-93d8-08e12404ae0f,1
0,eee5ec4a-dfca-a932-e1a3-0b02a323f4b5,1
0,31aaa2cb-057c-d0a8-6788-bb6ecb3ada56,1
0,5c4475bf-d7df-3514-9ff1-07f0e9514500,1
0,269d0b8a-8350-36b4-67c3-3e29d6041b5c,1
0,0414cdc3-fc98-163e-3e99-6c42cb74181f,1
0,2b6760b7-8ae4-fb53-be51-713996a844f0,1
0,de2c074a-fb17-463d-8aa0-174087899129,1
0,0e5f3c13-b90f-b044-dfb9-b5192754f78a,1
0,1a70c79d-b5fd-0724-0442-327519687fe6,1
0,8ab0b38f-bad7-2fae-1ba6-24e2eb146f82,1
0,8fcfa75c-e407-187d-c37c-784cac8e6c7b,1
0,93833ebe-84d8-577e-7fd6-84646a06e588,1
0,11a7bb84-7601-0161-9588-b9b5020518e5,1
0,cc250a40-4b23-6077-95f5-e207d3ddcf42,1
0,7e1cc7bc-6e8b-6546-2cf1-f8027dc18fe5,1
0,0bebeb97-fddb-c886-3899-5d221e89b86a,1
0,c9564661-aa09-5ae1-1b4f-eaac485a824e,1
0,c459150f-6be4-34ec-e9fd-74fb30a5fcf1,1
0,d416c8b2-2830-af5a-6862-a79df1d9a392,1
0,ce975f7d-c364-6d48-0a2c-ba17b480fe8c,1
0,61ff3699-aad4-35d3-4ecb-b8195e8b08cd,1
0,d66979ba-4d38-6ebc-865b-e9e28936f289,1
0,9fe91411-9092-2ce4-aabc-dd3c6868d50a,0
0,22f70f53-453d-9f22-24ca-b62a313ca6aa,1
0,d7a24f2e-cd47-d543-657c-fce56ef00c31,1
0,845d744a-be52-529f-e4e7-52ea1868719a,1
0,c7104b57-7c8a-e5b5-cf60-f8ccbc15a7f2,1
0,2acbd281-726f-e240-ebae-080d2a672929,1
0,f4cfaa89-53bb-3d30-c887-0b022b313e7a,0
0,f771d6db-d64e-2ff2-f50d-47be0ad31b9c,0
0,a810f563-73b5-e8e0-9a71-de09c82c6079,1
0,f6d9da6a-66e4-c805-43dc-c6b8b77a22c6,0
0,a4182267-11d3-0c70-03b2-8df1412e250c,1
0,470f0ef8-244f-e174-0201-3d9c0783d463,0
0,fbba4fe0-ad9b-ec46-575c-c22ff0a20186,1
0,8a44ff16-3c57-8800-d9ae-b579ae7c74fd,1
0,cd9f2c33-740b-4702-9b74-5c8acb54f9af,0
0,feba96eb-7c85-a150-dfa6-ed45a7fda60b,0
0,412ee760-0692-d284-ef00-a91dc3516e81,1
0,e746baf2-13cc-6400-05b7-ab05d8937b9a,1
0,c473d463-8c9c-afc1-a507-f3e38d9d6320,1
0,7e7d4cee-9b6d-698b-2ef8-324090f22a95,1
0,14c78171-fcca-bf8a-9d0b-2a75bce2b5e9,1
0,e29e903f-f76f-1057-4fc7-4c2d91c09067,1
0,a2c4873d-ee68-7f14-b485-10f4c400ba59,1
0,7b59d921-c882-0ca0-7f89-fb8d60362225,1
0,7e942ab7-170a-97da-c38f-c052a53b1b90,1
0,b3bf475a-41f8-65a5-08cc-ed0f38aeea9c,1
0,4549a7e8-4082-a14b-222c-0b3f854d53be,1
0,f21e307b-e71c-c4d1-f100-2f5c57d3bdf6,1
0,eb12b7cb-d680-8321-33a9-806aaef20fd5,1
0,fadf733b-570c-0e26-247b-f336f42c09d4,1
0,eded4a47-663d-25e0-42a9-1c8d6e2faa41,1
0,1bc40113-baca-b142-437d-bece746ab8ee,1
0,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,1
0,7f275fd8-3ac0-e8ed-ec70-7fda16deb374,1
0,e55609cd-8ca1-b9ce-58b2-d368dcab8497,1
0,13845a3d-66cd-aa26-c6e2-b47183f3333b,1
0,8af2530d-3c10-9a12-3b3d-ab99979b25b6,1
0,07ae0994-02e6-2b53-051f-609e8d9efa1e,0
0,c0727430-6446-4ab2-9719-21fad5f6aaf3,1
