,site_id,missing_data
0,5af67d8c-1379-a6e1-6014-5507848a20f7,[]
0,36f7a93f-16f8-3f4d-136e-551893c0eacf,[]
0,42c0c45f-f378-fb9d-6efe-175c1b784a3a,"[['2016-11-06 05:00:00', '2016-11-06 07:00:00'], ['2017-11-05 05:00:00', '2017-11-05 07:00:00']]"
0,8d7108e3-ac36-ba4a-ad12-34b6ebe6664c,"[['2016-11-06 05:00:00', '2016-11-06 07:00:00'], ['2017-11-05 05:00:00', '2017-11-05 07:00:00']]"
0,2ae3a189-e627-5fe7-d0ac-dcbbfbab0b43,[]
0,21e4f4d5-363b-14bd-a730-9d435d74d606,[]
0,30c1077f-52be-0374-cbd6-3cb5974a0bfd,[]
0,3dc26230-5764-4f78-4bbe-b7fa0557b7e8,[]
0,591c3ec2-5ab5-f4fb-318d-4f46fc4d850d,[]
0,aa836c84-561a-8a2a-aa0f-708f7b40ea21,[]
0,bb055294-2785-65c5-d0c3-682d88f20e03,[]
0,296e3ddf-41f1-ead1-2c5c-16e281dd566f,[]
0,914a4622-8135-e1af-b78d-27324b8a2283,[]
0,3747c7dc-e13d-8cc1-a12b-8af1ad992d6e,[]
0,39138f01-5443-f532-6462-736c6dcc10e8,[]
0,502d63b2-591b-5f66-2b4f-1bae154e1f4b,[]
0,3f4c503c-b16f-6ed9-160f-acd9411489f6,[]
0,df5a0814-bc32-8b30-3014-468f18c3529e,[]
0,61ecf3c1-f9ec-2cf1-3de7-bbe7fc425bd8,[]
0,836c724d-6737-b791-d7f2-f351ca3384dc,[]
0,8dd2fc1b-0874-7462-b589-7ad334248d13,[]
0,1deddf70-b77f-b861-3717-95daa14c2ddd,[]
0,998de051-d72a-2d40-1f2f-196f036ec8bf,[]
0,dd0c760b-daf3-2e3d-c566-b95a0c0f2ed8,[]
0,b8ec0850-c5ce-1579-5438-8d1247f0ff16,[]
0,bf42dd99-bc1a-58cf-b23a-d91e94607e4e,[]
0,ea58e698-1408-d5c5-34fe-9fac928a4b4c,[]
0,02fb6917-572b-6e82-8f53-2dd1fb188a3c,[]
0,0101ee7c-a0ef-7b94-f62b-594142c8b0e6,[]
0,eccea137-1478-4434-9694-6456ee9d4674,[]
0,d8130743-875e-d549-80d6-329656b68575,[]
0,ea5a9c0c-6723-2114-3396-87e87ea4ae93,[]
0,5cca460f-ace3-6061-82c9-a548171ce604,[]
0,e7ef7c8f-7d80-c0ca-03fe-9c0f220c3d7f,[]
0,97637050-75e4-51c5-bace-70b9b45dff87,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,628c0db4-db3e-14b8-48c8-a59cc0589a2b,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,b39a02a0-5140-464d-ee95-e45023c05d8d,[]
0,198ef94a-1013-8d08-d097-731c6d60b634,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,7ed3c3e8-9783-acf8-e06d-be5a2366b500,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,815bf190-4a28-b933-bac1-42f175e34117,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00'], ['2018-11-04 04:00:00', '2018-11-04 07:00:00']]"
0,20c85176-6a40-9063-6043-d0831f657bd0,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
